id,year,method,TFR
16,2011,Interpolation,3.168785
16,2012,Interpolation,3.043351
16,2013,Interpolation,2.931538
16,2014,Interpolation,2.852303
16,2015,Interpolation,2.780017
16,2016,Interpolation,2.698794
16,2017,Interpolation,2.597718
16,2018,Interpolation,2.49362
16,2019,Interpolation,2.403681
16,2020,Projection,2.360457
16,2021,Projection,2.327498
16,2022,Projection,2.305103
16,2023,Projection,2.285901
20,1950,Interpolation,2.112014
20,1951,Interpolation,2.194786
20,1952,Interpolation,2.25789
20,1953,Interpolation,2.314549
20,1954,Interpolation,2.319979
20,1955,Interpolation,2.270721
20,1956,Interpolation,2.296279
20,1957,Interpolation,2.374225
20,1958,Interpolation,2.45867
20,1959,Interpolation,2.551677
20,1960,Interpolation,2.544556
20,1961,Interpolation,2.543014
20,1962,Interpolation,2.54819
20,1963,Interpolation,2.601799
20,1964,Interpolation,2.68862
20,1965,Interpolation,2.715494
20,1966,Interpolation,2.758524
20,1967,Interpolation,2.780283
20,1968,Interpolation,2.770261
20,1969,Interpolation,2.768999
20,1970,Interpolation,2.787009
20,1971,Interpolation,2.832093
20,1972,Interpolation,2.905099
20,1973,Interpolation,2.826012
20,1974,Interpolation,2.7347
20,1975,Interpolation,2.457964
20,1976,Interpolation,2.206514
20,1977,Interpolation,2.028583
20,1978,Interpolation,1.883726
20,1979,Interpolation,1.795265
20,1980,Interpolation,1.830394
20,1981,Interpolation,1.797313
20,1982,Interpolation,1.726477
20,1983,Interpolation,1.57406
20,1984,Interpolation,1.474557
20,1985,Interpolation,1.434005
20,1986,Interpolation,1.397269
20,1987,Interpolation,1.367092
20,1988,Interpolation,1.365128
20,1989,Interpolation,1.394623
20,1990,Interpolation,1.400774
20,1991,Interpolation,1.397407
20,1992,Interpolation,1.373493
20,1993,Interpolation,1.334139
20,1994,Interpolation,1.317163
20,1995,Interpolation,1.318646
20,1996,Interpolation,1.328602
20,1997,Interpolation,1.354222
20,1998,Interpolation,1.383377
20,1999,Interpolation,1.421392
20,2000,Interpolation,1.273184
20,2001,Interpolation,1.30471
20,2002,Interpolation,1.264563
20,2003,Interpolation,1.180348
20,2004,Interpolation,1.228599
20,2005,Interpolation,1.223832
20,2006,Interpolation,1.233835
20,2007,Interpolation,1.188806
20,2008,Interpolation,1.249531
20,2009,Interpolation,1.207987
20,2010,Interpolation,1.274762
20,2011,Interpolation,1.321478
20,2012,Interpolation,1.260423
20,2013,Interpolation,1.142493
