id,model,n,rmse,smape,rmsse,crps,coverage_90,mpiw_90,mis_90,coverage_80,mpiw_80,mis_80
540,NeuralTFR,13,0.11704390131288782,5.6643655752720194,1.2081979165183618,0.06996971980883528,100.0,0.7095056222035334,0.7095056222035334,100.0,0.5371614236098069,0.5371614236098069
540,BayesTFR,13,0.03995146856623344,1.6311364497113758,0.4124032140259587,0.03610376461128035,100.0,0.6091159731983299,0.6091159731983299,100.0,0.4759094647839147,0.4759094647839147
540,NaiveDrift,13,0.26768009279073607,13.281394561138221,2.7631557627137813,,0.0,,,0.0,,
548,NeuralTFR,12,0.13182833064861338,2.768599360689624,0.3889910600635732,0.09175908923149108,100.0,1.3574181000391643,1.3574181000391643,100.0,0.9798061649004618,0.9798061649004618
548,BayesTFR,12,0.08997248746111329,1.9417447913368888,0.2654853710265285,0.0841715708124119,100.0,1.3800675901398216,1.3800675901398216,100.0,1.07970006427225,1.07970006427225
548,NaiveDrift,12,0.6231144381104372,12.542664922028349,1.838648374207007,,0.0,,,0.0,,
554,NeuralTFR,14,0.13221528614902522,5.615062597122613,1.3273427899225467,0.06863847004515783,100.0,0.7283322300229754,0.7283322300229754,100.0,0.573992235319955,0.573992235319955
554,BayesTFR,14,0.27368684129974563,11.800694823626555,2.747611611916267,0.1289177920543678,78.57142857142857,0.5551040802630985,0.6935289775848242,57.14285714285714,0.4121170943375979,0.8049545707200159
554,NaiveDrift,14,0.4790293146541066,19.989743385491057,4.809096780617263,,0.0,,,0.0,,
558,NeuralTFR,2,0.05174181849808663,1.7017200291517467,0.16368592754093061,0.034998960494995124,100.0,0.5453174114227295,0.5453174114227295,100.0,0.39076387882232666,0.39076387882232666
558,BayesTFR,2,0.022561489252551272,0.9421801537755996,0.07137356981655286,0.024298339961838444,100.0,0.41054459607844995,0.41054459607844995,100.0,0.31680586359491514,0.31680586359491514
558,NaiveDrift,2,0.14699271820911405,6.08675071944994,0.46501340927380086,,0.0,,,0.0,,
562,NeuralTFR,13,0.49866363299663685,5.582652399719093,4.161242749364945,0.23217006405874216,100.0,1.8822837609511156,1.8822837609511156,84.61538461538461,1.2661712353046124,1.5068703502278222
562,BayesTFR,13,0.589573805347685,7.263773495630848,4.919868946478998,0.3341673581721744,53.84615384615385,1.9326819320186017,2.9594012989323275,53.84615384615385,1.5419855757610246,2.495028892446557
562,NaiveDrift,13,1.0811374034050758,10.009831892122428,9.02186340309472,,0.0,,,0.0,,
566,NeuralTFR,13,0.19804366115605795,3.1073278214542497,1.5714091857963917,0.13293799381271637,100.0,1.764535170335036,1.764535170335036,100.0,1.2685329363896296,1.2685329363896296
566,BayesTFR,13,0.4493326541054191,7.582211617576471,3.5653019946098383,0.24148571813117561,100.0,1.8811095320533193,1.8811095320533193,100.0,1.4926922265701386,1.4926922265701386
566,NaiveDrift,13,0.28865882315575553,3.8688959722260976,2.2904097188482786,,0.0,,,0.0,,
578,NeuralTFR,15,0.14333323067768566,6.8694116455132015,2.2502022290447705,0.07108630140622457,100.0,0.6882349332173665,0.6882349332173665,100.0,0.5426515579223633,0.5426515579223633
578,BayesTFR,15,0.32479530328321377,15.678490653248675,5.098992829336543,0.1921334734234344,26.666666666666668,0.38625206553762065,2.4418202882245463,26.666666666666668,0.2976462629565306,1.68437365231948
578,NaiveDrift,15,0.6081249902948154,27.07446308500554,9.547012944795489,,0.0,,,0.0,,
583,NeuralTFR,1,0.08014696035300028,2.3231258485937714,0.5102682089296203,0.05090792991127305,100.0,0.5849907398223877,0.5849907398223877,100.0,0.3863704204559326,0.3863704204559326
583,BayesTFR,1,0.030862812608611012,0.9010198388780739,0.19649294300076234,0.03192188142863059,100.0,0.5158583956354499,0.5158583956354499,100.0,0.40638023102439025,0.40638023102439025
583,NaiveDrift,1,0.0009885218782659244,0.028994061295850426,0.00629357977007315,,0.0,,,0.0,,
586,NeuralTFR,13,0.37004143551151614,8.880407352213,2.7107446019764163,0.17920259376356162,100.0,1.2314013884617732,1.2314013884617732,84.61538461538461,0.9418431428762583,1.0868485758046664
586,BayesTFR,13,0.2553323571819134,5.345758104035983,1.8704413682322492,0.13245750327987088,100.0,1.4800152745485977,1.4800152745485977,100.0,1.1465337239073743,1.1465337239073743
586,NaiveDrift,13,0.6007027842152927,14.38415609569152,4.400458093167062,,0.0,,,0.0,,
591,NeuralTFR,13,0.1716100128078,6.511421942303512,1.2976902745327459,0.09404299013889753,100.0,0.823234695654649,0.823234695654649,84.61538461538461,0.6059624506877019,0.6880145714833186
591,BayesTFR,13,0.13735879986074936,5.104241207927529,1.03868752052609,0.07692697334593593,100.0,0.7707245852234639,0.7707245852234639,100.0,0.5960080871530345,0.5960080871530345
591,NaiveDrift,13,0.19458403062361776,7.479594985855879,1.4714164983045421,,0.0,,,0.0,,
598,NeuralTFR,8,0.5669388916004696,12.69319038227932,7.221085532413328,0.2985729776786873,62.5,1.0490639209747314,2.977149535804014,37.5,0.7551155686378479,2.352021222778635
598,BayesTFR,8,0.5118197801463374,11.2879082547695,6.519034880786129,0.25455248439917916,62.5,1.0236328986760674,1.8796747272371812,50.0,0.7875955991394112,1.8522221270181356
598,NaiveDrift,8,0.4406341784106656,9.211021844301124,5.612345771209489,,0.0,,,0.0,,
600,NeuralTFR,7,0.14096743386751479,4.86443759416776,0.7867734768806977,0.0748134818673134,100.0,0.7717324495315552,0.7717324495315552,100.0,0.544893775667463,0.544893775667463
600,BayesTFR,7,0.11129899578667332,3.9130312213073934,0.6211867201236644,0.06708316868941652,100.0,0.7215084779616127,0.7215084779616127,100.0,0.5627689057333471,0.5627689057333471
600,NaiveDrift,7,0.3401050225816437,11.477832090184378,1.898208712323107,,0.0,,,0.0,,
604,NeuralTFR,13,0.10112854769563358,3.953794512411357,0.2128012708508827,0.06532031662189039,100.0,0.8402846318024856,0.8402846318024856,100.0,0.6379917951730582,0.6379917951730582
604,BayesTFR,13,0.19720221695532308,7.398560882459085,0.41496573755816096,0.09741486545673589,100.0,0.8652687193694154,0.8652687193694154,100.0,0.6616501802346115,0.6616501802346115
604,NaiveDrift,13,0.129077412198648,5.460654978706125,0.27161309026888664,,0.0,,,0.0,,
608,NeuralTFR,13,0.4164843342015586,11.567096410813349,0.8312078493557897,0.17535675477523066,84.61538461538461,1.0362819066414466,1.6343897581100464,76.92307692307693,0.7684297745044415,1.36030912399292
608,BayesTFR,13,0.5281736945367143,14.86960963262032,1.0541143679841225,0.24499938084603867,76.92307692307693,1.0914402854685339,2.6934783586943167,69.23076923076923,0.8435908488191285,1.9962839380590296
608,NaiveDrift,13,0.5930843456367302,16.917903021226035,1.1836612399080422,,0.0,,,0.0,,
616,NeuralTFR,15,0.05996550169713694,3.838434890913046,0.654442118202467,0.043244943559169774,100.0,0.5668676614761352,0.5668676614761352,100.0,0.46709633668263756,0.46709633668263756
